City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
147,Khomutovo,RU,2022-07-14 20:12:29,52.4658,104.4025,56.01,96,23,3.22
148,Castro,BR,2022-07-14 20:12:29,-24.7911,-50.0119,67.78,63,43,6.13
149,Ekibastuz,KZ,2022-07-14 20:12:30,51.6667,75.3667,74.75,41,16,7.34
150,San Jeronimo,PE,2022-07-14 20:11:10,-11.9472,-75.2829,65.71,32,22,0.96
151,Grindavik,IS,2022-07-14 20:12:30,63.8424,-22.4338,52.27,71,75,6.91
152,Ancud,CL,2022-07-14 20:12:30,-41.8697,-73.8203,44.22,73,44,7.85
153,Hasaki,JP,2022-07-14 20:12:31,35.7333,140.8333,73.29,92,100,8.12
154,Hay River,CA,2022-07-14 20:09:12,60.8156,-115.7999,63.01,65,98,14.76
155,Nuevitas,CU,2022-07-14 20:12:31,21.5453,-77.2644,84.42,65,0,11.59
156,Husavik,IS,2022-07-14 20:12:32,66.0449,-17.3389,49.19,78,29,4.74
157,Powell River,CA,2022-07-14 20:12:32,49.8496,-124.5361,72.03,59,94,4.9
158,Vao,NC,2022-07-14 20:11:53,-22.6667,167.4833,71.64,54,57,25.12
159,Butaritari,KI,2022-07-14 20:12:33,3.0707,172.7902,81.81,80,50,17.54
160,Barrow,US,2022-07-14 20:12:33,71.2906,-156.7887,33.82,80,100,11.5
161,Nhulunbuy,AU,2022-07-14 20:12:33,-12.2333,136.7667,70.41,73,40,8.05
162,Manicore,BR,2022-07-14 20:12:34,-5.8092,-61.3003,94.89,33,46,2.66
163,Mabaruma,GY,2022-07-14 20:12:34,8.2,-59.7833,83.08,69,40,6.06
164,Astana,KZ,2022-07-14 20:11:13,51.1801,71.446,67.95,60,0,6.71
165,Gasa,PS,2022-07-14 20:12:34,31.5,34.4667,73.89,69,0,5.79
166,Conde,BR,2022-07-14 20:12:35,-7.2597,-34.9075,78.26,69,75,13.8
167,Madang,PG,2022-07-14 20:12:35,-5.2246,145.7966,77.31,90,100,5.32
168,Longyearbyen,SJ,2022-07-14 20:12:35,78.2186,15.6401,57.04,67,40,16.11
169,Gamba,GA,2022-07-14 20:12:36,-2.65,10.0,69.96,91,2,6.96
170,Mount Pleasant,US,2022-07-14 20:09:14,32.7941,-79.8626,91.31,76,0,17.27
171,Gat,IL,2022-07-14 20:12:36,31.61,34.7642,77.81,100,0,3.78
172,Honiara,SB,2022-07-14 20:12:37,-9.4333,159.95,75.22,74,99,4.25
173,Bandarbeyla,SO,2022-07-14 20:12:37,9.4942,50.8122,77.9,82,99,32.5
174,Eydhafushi,MV,2022-07-14 20:08:38,5.1033,73.0708,82.67,77,12,16.4
175,Broken Hill,AU,2022-07-14 20:12:37,-31.95,141.4333,40.05,79,0,5.17
176,Fukue,JP,2022-07-14 20:12:38,32.6881,128.8419,80.17,92,99,4.27
177,Iranshahr,IR,2022-07-14 20:12:38,27.2025,60.6848,93.42,12,8,6.53
178,Sola,VU,2022-07-14 20:08:48,-13.8833,167.55,79.65,71,34,2.15
179,Coquimbo,CL,2022-07-14 20:09:16,-29.9533,-71.3436,53.33,100,100,13.8
180,Marsh Harbour,BS,2022-07-14 20:12:38,26.5412,-77.0636,83.86,61,6,12.3
181,Antalaha,MG,2022-07-14 20:13:39,-14.9003,50.2788,66.6,85,44,7.25
182,Mayo,US,2022-07-14 20:11:52,38.8876,-76.5119,91.08,49,0,9.22
183,Severo-Kurilsk,RU,2022-07-14 20:13:39,50.6789,156.125,53.67,96,84,9.71
184,Tautira,PF,2022-07-14 20:13:40,-17.7333,-149.15,75.16,70,93,22.3
185,Saint-Joseph,RE,2022-07-14 20:09:30,-21.3667,55.6167,65.21,80,88,8.72
186,Abha,SA,2022-07-14 20:13:40,18.2164,42.5053,70.66,48,99,3.83
187,Winnemucca,US,2022-07-14 20:13:41,40.973,-117.7357,96.85,9,0,5.75
188,Rudnogorsk,RU,2022-07-14 20:13:41,57.2639,103.7519,48.88,95,100,1.99
189,Port Elizabeth,ZA,2022-07-14 20:12:11,-33.918,25.5701,56.32,79,81,3.0
190,Eyl,SO,2022-07-14 20:13:41,7.9803,49.8164,79.77,74,92,26.26
191,Samarai,PG,2022-07-14 20:13:42,-10.6167,150.6667,76.14,72,100,19.82
192,Acolla,PE,2022-07-14 20:13:42,-11.7319,-75.5463,64.18,34,10,4.85
193,Chapais,CA,2022-07-14 20:13:43,49.7834,-74.8492,69.44,36,90,4.54
194,Kashi,CN,2022-07-14 20:13:43,39.4547,75.9797,73.85,32,98,1.48
195,Wahpeton,US,2022-07-14 20:13:43,46.2652,-96.6059,81.32,61,0,16.11
196,Albanel,CA,2022-07-14 20:13:44,48.8832,-72.4487,70.25,50,82,3.31
197,Le Locle,CH,2022-07-14 20:13:44,47.0595,6.7523,76.42,43,0,5.75
198,San Quintin,MX,2022-07-14 20:13:44,30.4833,-115.95,73.08,66,0,13.44
199,Aykhal,RU,2022-07-14 20:13:45,66.0,111.5,51.73,75,100,5.41
200,Jaguey Grande,CU,2022-07-14 20:13:45,22.5269,-81.1286,93.79,37,5,7.52
201,Vila Velha,BR,2022-07-14 20:13:45,-20.3297,-40.2925,69.94,92,100,3.44
202,Nogliki,RU,2022-07-14 20:13:46,51.8333,143.1667,52.43,97,100,9.17
203,Tual,ID,2022-07-14 20:13:46,-5.6667,132.75,78.62,80,98,24.2
204,Kahului,US,2022-07-14 20:10:16,20.8947,-156.47,82.42,72,20,23.02
205,Yarada,IN,2022-07-14 20:13:47,17.65,83.2667,82.72,69,75,8.05
206,Palaikastron,GR,2022-07-14 20:13:47,35.2,26.25,74.35,69,0,29.24
207,Dubbo,AU,2022-07-14 20:10:32,-32.25,148.6167,28.53,100,0,3.44
208,Okhotsk,RU,2022-07-14 20:12:49,59.3833,143.3,59.97,94,80,2.86
209,Pangody,RU,2022-07-14 20:13:47,65.85,74.4859,55.22,60,9,6.91
210,Yerbogachen,RU,2022-07-14 20:13:48,61.2767,108.0108,51.87,97,100,3.36
211,San Antero,CO,2022-07-14 20:13:48,9.3741,-75.7589,84.04,78,69,7.87
212,Koksovyy,RU,2022-07-14 20:13:49,48.1967,40.5989,64.96,58,0,12.12
213,Upernavik,GL,2022-07-14 20:12:07,72.7868,-56.1549,40.03,87,16,14.12
214,Ucluelet,CA,2022-07-14 20:13:49,48.9329,-125.5528,62.1,81,80,6.89
215,Mul,IN,2022-07-14 20:13:50,20.0667,79.6667,76.3,92,100,11.14
216,Conakry,GN,2022-07-14 20:13:50,9.538,-13.6773,79.2,81,100,9.75
217,Marakkanam,IN,2022-07-14 20:09:11,12.2,79.95,83.93,54,100,19.98
218,Tabuk,PH,2022-07-14 20:13:50,17.4189,121.4443,74.46,93,100,3.71
219,Seddon,AU,2022-07-14 20:13:51,-37.8068,144.8916,47.88,86,75,9.22
220,Kuah,MY,2022-07-14 20:13:51,6.3265,99.8432,83.8,76,100,12.41
221,North Bend,US,2022-07-14 20:13:51,43.4065,-124.2243,75.24,77,0,16.11
222,Tehachapi,US,2022-07-14 20:12:12,35.1322,-118.449,98.24,29,5,13.0
223,Uribia,CO,2022-07-14 20:14:52,11.7139,-72.266,92.89,36,55,20.78
224,Berlevag,NO,2022-07-14 20:14:52,70.8578,29.0864,58.8,100,75,14.97
225,Korla,CN,2022-07-14 20:14:53,41.7597,86.1469,73.18,45,43,4.0
226,Gidam,IN,2022-07-14 20:14:53,18.9833,81.4,72.55,97,100,7.7
227,Itarema,BR,2022-07-14 20:13:49,-2.9248,-39.9167,80.51,76,16,15.57
228,Bredasdorp,ZA,2022-07-14 20:12:11,-34.5322,20.0403,51.64,84,22,3.71
229,Usak,TR,2022-07-14 20:14:54,38.5,29.4167,71.22,36,2,13.09
230,Saint George,US,2022-07-14 20:11:39,37.1041,-113.5841,102.94,20,0,6.91
231,Bilma,NE,2022-07-14 20:14:54,18.6853,12.9164,95.04,16,10,8.57
232,Bulgan,MN,2022-07-14 20:14:54,48.8125,103.5347,54.0,91,99,2.98
233,Ahipara,NZ,2022-07-14 20:14:11,-35.1667,173.1667,55.17,85,100,7.52
234,Tocopilla,CL,2022-07-14 20:14:55,-22.092,-70.1979,60.03,61,7,4.99
235,Praya,CV,2022-07-14 20:14:55,14.9215,-23.5087,76.14,72,20,12.37
236,Mwense,ZM,2022-07-14 20:14:56,-10.3845,28.698,72.05,37,99,3.36
237,Necochea,AR,2022-07-14 20:14:56,-38.5473,-58.7368,51.96,83,100,14.38
238,Beibei,CN,2022-07-14 20:14:57,29.8256,106.4339,83.5,74,26,3.67
239,Sao Jose Da Coroa Grande,BR,2022-07-14 20:14:57,-8.8978,-35.1478,76.14,80,6,10.47
240,Esperance,AU,2022-07-14 20:12:47,-33.8667,121.9,58.23,83,2,20.38
241,Kautokeino,NO,2022-07-14 20:10:46,69.0125,23.0412,57.96,97,100,17.05
242,Sambava,MG,2022-07-14 20:14:58,-14.2667,50.1667,67.98,86,96,10.74
243,Airai,TL,2022-07-14 20:12:15,-8.9266,125.4092,53.35,87,10,3.53
244,Erenhot,CN,2022-07-14 20:14:58,43.6475,111.9767,75.56,26,98,4.88
245,Kaspiyskiy,RU,2022-07-14 20:14:59,45.3929,47.3707,79.12,43,0,12.71
246,Soyo,AO,2022-07-14 20:14:59,-6.1349,12.3689,70.84,86,13,7.54
247,Tiznit,MA,2022-07-14 20:14:59,29.5833,-9.5,81.03,48,29,3.09
248,Listvyagi,RU,2022-07-14 20:15:00,53.6772,86.951,51.33,71,100,2.46
249,Siderno,IT,2022-07-14 20:15:00,38.2779,16.302,71.33,59,0,6.55
250,Flinders,AU,2022-07-14 20:15:00,-34.5833,150.8552,45.18,78,0,4.0
251,Kruisfontein,ZA,2022-07-14 20:15:01,-34.0033,24.7314,52.65,88,29,6.6
252,Garowe,SO,2022-07-14 20:15:01,8.4054,48.4845,82.29,51,87,24.56
253,Moose Factory,CA,2022-07-14 20:15:01,51.2585,-80.6094,78.71,27,41,3.83
254,Narsaq,GL,2022-07-14 20:11:57,60.9167,-46.05,61.02,61,100,4.79
255,Terra Roxa,BR,2022-07-14 20:15:02,-23.8557,-50.0314,73.26,53,71,3.38
256,Eagle Pass,US,2022-07-14 20:11:10,28.7091,-100.4995,103.26,31,0,11.5
257,Rock Springs,US,2022-07-14 20:15:03,41.5875,-109.2029,92.23,24,0,6.91
258,Tongzi,CN,2022-07-14 20:15:03,28.7829,105.0877,80.67,92,77,3.47
259,Clyde River,CA,2022-07-14 20:11:56,70.4692,-68.5914,51.06,57,26,2.8
260,Kavaratti,IN,2022-07-14 20:15:04,10.5669,72.642,81.68,80,94,23.69
261,Makakilo City,US,2022-07-14 20:15:05,21.3469,-158.0858,79.12,80,100,9.22
262,Cherskiy,RU,2022-07-14 20:15:05,68.75,161.3,45.19,58,100,1.88
263,Malakal,SS,2022-07-14 20:15:05,9.5334,31.6605,71.26,96,100,5.61
264,Pozoblanco,ES,2022-07-14 20:11:37,38.3791,-4.8483,90.07,16,38,11.34
